ID_Produto,Produto,Titulo,Categoria,Descricao,Preco,Avaliacao,Disponibilidade
25,Livro,black dust,romance,No matter how busy he keeps himself successful broadway musician tobias spence cant outrun the memory of a tragic car crash from his past that claimed a friends life and permanently injured his former boyfriend emmetteven after losing tobias emmett henderson made peace with that awful night living in his indiana hometown where he.,34.53,5,In stock
26,Livro,birdsong a story in pictures,childrens,Bring the thrilling story of one red bird to life when an innocent bird meets two cruel kids their world is forever changed but exactly how that change unfolds is up to you in the tradition of kamishibaijapanese paper theater the wordless story by master cartoonist james.,54.64,3,In stock
29,Livro,worlds elsewhere journeys around shakespeares globe,nonfiction,Antiapartheid activist bollywood screenwriter nazi pinup hero of the wild west this is shakespeare as you have never seen him beforefrom the sixteenthcentury baltic to the american revolution from colonial india to the skyscrapers of modernday shanghai shakespeares plays appear at the most fascinating of times and in the most unexpected of places no other writ antiapartheid activist bollywood screenwriter nazi pinup hero of the wild west this is shakespeare as you have never seen him beforefrom the sixteenthcentury baltic to the american revolution from colonial india to the skyscrapers.,40.3,5,In stock
30,Livro,wall and piece,art,Banksy britains nowlegendary guerilla street artist has painted the walls streets and bridges of towns and cities throughout the world not only did he smuggle his pieces into four of new york.,44.18,4,In stock
31,Livro,the four agreements a practical guide to personal freedom,spirituality,In the four agreements don miguel ruiz reveals the source of selflimiting beliefs that rob us of joy and create needless suffering based on ancient toltec wisdom the four agreements offer a powerful.,17.66,5,In stock
32,Livro,the five love languages how to express heartfelt commitment to your mate,nonfiction,Are you and your spouse speaking the same language while love is a many splendored thing it is sometimes a very confusing thing too and as people come in all varieties shapes and sizes so do their choices of personal expressions of love but more often than not the giver.,31.05,3,In stock
33,Livro,the elephant tree,thriller,Mark fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclubs scott is a dejected year old struggling to make ends meet working for his brother and supplementing his income with a smallscale drug.,23.82,5,In stock
34,Livro,the bear and the piano,childrens,One day a young bear stumbles upon something he has never seen before in the forest as time passes he teaches himself how to play the strange instrument and eventually the beautiful sounds are heard by a father and son who are picnicking.,36.89,1,In stock
35,Livro,sophies world,philosophy,A pageturning novel that is also an exploration of the great philosophical concepts of western thought sophies world has fired the imagination of readers all over the world with more than twenty million copies in printone day fourteenyearold sophie amundsen comes home from school to find in her mailbox two notes with one.,15.94,5,In stock
38,Livro,in a dark dark wood,mystery,In a dark wood nora hasnt seen clare for ten years not since nora walked out of school one day and never went back there was a dark houseuntil out of the blue an invitation to clares.,19.63,1,In stock
39,Livro,behind closed doors,thriller,The debut bloggers cant stop raving about perfect for fans of the girl on the train and the ice twins everyone knows a couple like jack and gracehe has looks and wealth she has charm and elegance you might not want to like them but you do.,52.22,4,In stock
40,Livro,you cant bury them all poems,poetry,A poetry that is at once harrowing angry and achingly beautiful patrick woodcock has spent the past seven years engaging with and being shaped by the people politics and landscapes of the kurdish north of iraq fort good hope in the northwest territories and azerbaijan his powerful new collection offers a poetry that simultaneously explores hope and horror while doc a poetry that is at once harrowing angry and achingly beautiful patrick woodcock has.,33.63,2,In stock
41,Livro,slow states of collapse poems,poetry,The eagerly anticipated debut from one of canadas most exciting new poets in her debut collection ashleyelizabeth best explores the cultivation of resilience during uncertain and often trying times its a book built around daytoday conflicts poems about love family grief power and longing navigating the fault lines of popular culture and.,57.31,3,In stock
42,Livro,reasons to stay alive,nonfiction,I want life i want to read it and write it and feel it and live it i want for as much of the time as possible in this blinkofaneye existence we have to feel all that can be felt i hate depression i am scared of it terrified in fact but at the same time it has made me who i.,26.41,2,In stock
43,Livro,private paris private,fiction,Paris is burningand only privates jack morgan can put out the firewhen jack morgan stops by privates paris office he envisions a quick hello during an otherwise relaxing trip filled with fine food and sightseeing but jack is quickly pressed into duty after a call from his.,47.61,5,In stock
44,Livro,higherselfie wake up your life free your soul find your tribe,nonfiction,There is a cosmic alarm clock going off around the world higherselfies aim is to unite all those waking up spiritually in this digital age this book is a guide to love connection and kickass surrendered action for young people who have at least a toe in the door of spirituality with a nononsense approach and full of wit and humor this book shares.,23.11,5,In stock
45,Livro,without borders wanderlove,new adult,For annie london a month in a central american rainforest means handing out mosquito nets giving medical aid and teaching children about the birds and the bees with any luck it will also land her application in the accepted pile at a top tier medical school but as soon as she steps off the plane annie realizes her bug spray feeble spanish and medical supplies.,45.07,2,In stock
46,Livro,when we collided,contemporary,We are seventeen and shattered and still dancing we have messy throbbing hearts and we are stronger than anyone could ever knowjonah never thought a girl like vivi would come alongvivi didnt know jonah would light up.,31.77,1,In stock
47,Livro,we love you charlie freeman,fiction,The freeman familycharles laurel and their daughters teenage charlotte and nineyearold calliehave been invited to the toneybee institute in rural massachusetts to participate in a research experiment they will live in an apartment on campus with charlie a young chimp abandoned by his mother the freemans were selected for the experiment because they know sign la the.,50.27,5,In stock
48,Livro,untitled collection sabbath poems,poetry,More than thirtyfive years ago when the weather allowed wendell berry began spending his sabbaths outdoors walking and wandering around familiar territory seeking a deep intimacy only time could provide these walks arranged themselves into poems and each year since he has completed a sequence dated by the year of its composition last year we collected.,14.27,4,In stock
49,Livro,unseen city the majesty of pigeons the discreet charm of snails  other wonders of the urban wilderness,nonfiction,It all started with nathanael johnsons decision to teach his daughter the name of every tree they passed on their walk to day care in san francisco this project turned into a quest to discover the secrets of the neighborhoods flora and fauna and yielded more than names and trivia johnson developed a relationship with his nonhuman neighborsjohnson argues that learning it all started with nathanael johnsons decision to teach his daughter the name of every.,44.18,4,In stock
50,Livro,unicorn tracks,fantasy,After a savage attack drives her from her home sixteenyearold mnemba finds a place in her cousin tumelos successful safari business where she quickly excels as a guide surrounding herself with nature and the mystical animals inhabiting the savannah not only allows mnembas tracking skills to shine it helps.,18.78,3,In stock
51,Livro,unbound how eight technologies made us human transformed society and brought our world to the brink,history,Although we usually think of technology as something unique to modern times our ancestors began to create the first technologies millions of years ago in the form of prehistoric tools and weapons over time eight key technologies gradually freed us from the limitations of our animal originsthe fabrication of weapons the mastery of fire and the technologies of clothing although we usually think of technology as something unique to modern times our ancestors began to create the.,25.52,1,In stock
52,Livro,tsubasa world chronicle  tsubasa world chronicle,sequential art,Dual worlds dual sights in the land of nirai kanai there are two realms one that is the outside world and another that is inside and hidden from the rest of reality at the request of.,16.28,1,In stock
53,Livro,throwing rocks at the google bus how growth became the enemy of prosperity,nonfiction,Capital in the twentyfirst century meets the second machine age in this stunning and optimistic tour de force on the promise and peril of the digital economy from one of the most brilliant social critics of our time digital technology was supposed to usher in a new age of endless prosperity but so far it has been used to put industrial capitalism on steroids makin capital in the twentyfirst century meets the second machine age in this stunning and optimistic tour de force on the promise and peril of the digital economy from one of the most.,31.12,3,In stock
54,Livro,this one summer,sequential art,Every summer rose goes with her mom and dad to a lake house in awago beach its their getaway their refuge rosies friend windy is always there too like the little sister she never had but this summer is different roses mom and dad wont stop fighting and when rose and.,19.49,4,In stock
55,Livro,thirst,fiction,On a searing summer friday eddie chapman has been stuck for hours in a traffic jam there are accidents along the highway but ambulances and police are conspicuously absent when he decides to abandon his car and run home he sees that the trees along the edge of a stream have been burnt and the water in the streambed is gone something is.,17.27,5,In stock
57,Livro,the secret of dreadwillow carse,childrens,A princess and a peasant girl must embark on a dangerous quest to outwit a centuriesold warning foretelling the fall of the monarchy in this modern fairytale in the center of the verdant monarchy lies dreadwillow carse a black and desolate bog that the happy people of the land do their best to ignore little is known about it except for one dire warning if any monarc a princess.,56.13,1,In stock
58,Livro,the pioneer woman cooks dinnertime comfort classics freezer food minute meals and other delicious ways to solve supper,food and drink,Theres no time like dinnertimeoh dont get me wrong i adore breakfast i love lunch but dinnertime definitely tops them all its the time of day when we reunite with our sweeties our kids our friends our parents and catch up on the events of the day over something mouthwatering and delicious dinnertime anchors us nourishes us and reassures us its the gr theres no time like dinnertimeoh dont get me wrong i adore breakfast i love lunch but dinnertime definitely tops them all its.,56.41,1,In stock
59,Livro,the past never ends,mystery,A simple task attorney chester morgan thinks get a copy of a public record for a young man whose only friend has died in an unexplained accidental death except the police file regarding the demise of sex worker tanya everly has been sealed by the order of the chief of police and no one will talk warned to drop.,56.5,4,In stock
60,Livro,the natural history of us the fine art of pretending,young adult,One class assignment one second chance at love the school player is all in now he needs to win back the sweet commitment girl whos forever owned his heart justin carter has a secret hes not the total player fairfield academy believes him to be not really in fact he used to be a onewoman guyand his feelings for her never went away too bad he broke.,45.22,3,In stock
61,Livro,the nameless city the nameless city,sequential art,Every nation that invades the city gives it a new name but before long new invaders arrive and the city changes hands once again the natives dont let themselves get caught up in the unending wars to them their home is the nameless city and those who try.,38.16,4,In stock
62,Livro,the murder that never was forensic instincts,fiction,Given the opportunity would you assume someone elses identity and leave your old life behind a serendipitous crossing of paths between lisa barnes a downonherluck job seeker and julie forman a personal trainer to an olympic hopeful forever changes the course of both womens lives one winds up dead and the other finds herself a fugitive hiding behind one lie aft given the opportunity would you assume someone elses identity and leave.,54.11,3,In stock
63,Livro,the most perfect thing inside and outside a birds egg,science,Renowned ornithologist tim birkhead opens this gripping story as a female guillemot chick hatches already carrying her full quota of tiny eggs within her undeveloped ovary as she grows into adulthood only a few of her eggs mature are released into the oviduct and are fertilized by sperm stored from copulation that took place days or weeks earlier within a matter of h renowned ornithologist tim birkhead opens this gripping story.,42.96,4,In stock
65,Livro,the lifechanging magic of tidying up the japanese art of decluttering and organizing,nonfiction,Despite constant efforts to declutter your home do papers still accumulate like snowdrifts and clothes pile up like a tangled mess of noodlesjapanese cleaning consultant marie kondo takes tidying to a whole new level promising that if you properly simplify and organize your home once youll never have to do it.,16.77,3,In stock
67,Livro,the gutsy girl escapades for your life of epic adventure,nonfiction,Why should girls miss out on the joy of adventure they can jump off rocks swing on ropes and climb trees just as well as boys can but girls often allow fear to stand in their wayin the gutsy girl author caroline paul emboldens girls to seek out a life of exhilaration once a young scaredycat herself caroline decided that fear got in the way of the life she wanted.,37.13,1,In stock
68,Livro,the electric pencil drawings from inside state hospital no,nonfiction,Deedss subtle meticulous and wildly imaginative pencil and crayon drawings portray an unusual cast of characters nineteenthcentury dandies civil war soldiers antique cars fantastic boats and trains country landscapes dotted with roaming animals and fanciful architecture none of these existed in the actual midtwentiethcentury landscape of deedss own life but deedss subtle meticulous and wildly.,56.06,1,In stock
69,Livro,the death of humanity and the case for life,philosophy,Do you believe human life is inherently valuable unfortunately in the secularized age of statesanctioned euthanasia and abortionondemand many are losing faith in the simple value of human life to the disillusioned human beings are.,58.11,4,In stock
70,Livro,the bulletproof diet lose up to a pound a day reclaim energy and focus upgrade your life,health,In his midtwenties dave asprey was a successful silicon valley multimillionaire he also weighed pounds despite the fact that he was doing what doctors recommended eating calories a day and working out minutes a day six times a week when his excess fat started causing brain fog and food cravings sapped his energy and willpower asprey turned to the same h in his midtwenties dave asprey was a successful silicon valley.,49.05,3,In stock
72,Livro,the age of genius the seventeenth century and the birth of the modern mind,history,The age of genius explores the eventful intertwining of outward event and inner intellectual life to tell in all its richness and depth the story of the th century in europe it was a time of creativity unparalleled in history before or since from science to the arts from philosophy to politics acclaimed philosopher and historian ac grayling points to three primar the.,19.73,1,In stock
73,Livro,the activists tao te ching ancient advice for a modern revolution,spirituality,Change and anger are in the air looking for answers to todays wrenching challenges william martin turns to the tao te ching and finds that while taoism is known for its quiet enigmatic wisdom the tao can also have the cleansing force of a rushing riverthrough his interpretation of this ancient chinese text martin.,32.24,5,In stock
74,Livro,spark joy an illustrated master class on the art of organizing and tidying up,nonfiction,Marie kondos unique konmari method of tidying up is nothing short of lifechangingand her first book the lifechanging magic of tidying up has become a worldwide sensation in spark joy kondo presents an indepth illustrated manual on how to.,41.83,4,In stock
76,Livro,security,horror,Original and imaginative ripping suspense sheer terror and a wrenching love story sandra brown new york times bestselling author of frictionthe terrible truth about manderley is that someone is always watching manderley resort is a gleaming new twentystory hotel on the california coast its about to open its doors and the worldat least those with the me original and imaginative ripping suspense sheer terror and a wrenching love story sandra brown new york times bestselling author of frictionthe terrible truth about manderley is that someone is always watching manderley resort is a gleaming new twentystory hotel on the california coast its about to open its doors and the worldat least those with the means to afford.,39.25,2,In stock
77,Livro,saga volume  saga collected editions,fantasy,After a dramatic time jump the threetime eisner award winner.,25.02,3,In stock
78,Livro,saga volume  saga collected editions,sequential art,Multiple storylines collide in this cosmosspanning new volume while gwendolyn and lying.,51.04,2,In stock
79,Livro,reskilling america learning to labor in the twentyfirst century,nonfiction,From katherine newman awardwinning author of no shame in my game and sociologist hella winston a sharp and irrefutable call to reenergize this nations longneglected system of vocational trainingafter decades of offshoring and downsizing that have left blue collar workers obsolete and stranded the united states is now on the verge of an industrial renaissance but w from katherine newman awardwinning author of no shame in my game and sociologist hella winston a sharp and irrefutable call.,19.83,2,In stock
80,Livro,rat queens vol  demons rat queens collected editions,sequential art,Having survived the end of the world the queens follow hannah.,50.4,3,In stock
81,Livro,princess jellyfish in omnibus vol  princess jellyfish in omnibus,sequential art,The longawaited story of fangirls taking on tokyospecial largesize in edition of over pagesone of the best anime and manga for beginners enthusiasm geeky and otherwise is power in princess jellyfish enthusiasm saves the day and paves the road to the future kotakuprincess jellyfishs ambition is simple to tell a delightful story in a delightful way the longawaited story.,13.61,5,In stock
82,Livro,princess between worlds wideawake princess,fantasy,Just as annie and liam are busy making plans to travel the world a.,13.34,5,In stock
83,Livro,pop gun war volume  gift,sequential art,Pop gun war is about childhood selfdiscovery oppression guilt dreams loneliness whatever it is more about a feeling you the reader get from the story rather than a typical narrative if you wanted to get literal it is about an inner city boy sinclair who discovers a pair of discarded angel wings with these wings sinclair flies around the city and gets into pop gun war is about childhood selfdiscovery oppression guilt dreams loneliness whatever it is more about a feeling you the reader get from the story rather than a typical narrative.,18.97,1,In stock
84,Livro,political suicide missteps peccadilloes bad calls backroom hijinx sordid pasts rotten breaks and just plain dumb mistakes in the annals of american politics,history,Just in time for the presidential election of comes political suicide a history of the best and most interesting missteps peccadilloes bad calls back room hijinks sordid pasts rotten breaks and just plain dumb mistakes in the annals of american politicsthey have tweeted their private parts to women theyre trying to impress they have gotten.,36.28,2,In stock
85,Livro,patience,sequential art,Patience is a psychedelic sciencefiction love story veering with uncanny precision from violent destruction to deeply personal tenderness in a way that is both quintessentially clowesian and utterly unique in the.,10.16,3,In stock
86,Livro,outcast vol  a darkness surrounds him outcast,sequential art,New horror series from the walking dead creator robert kirkman kyle barnes has.,15.44,4,In stock
87,Livro,orange the complete collection  orange the complete collection,sequential art,A plea from the futureon the day that naho begins th grade she recieves a letter from herself ten years in the future at first she writes it off as a prank but as the letters predictions come true one by one naho realizes that the letter.,48.41,1,In stock
88,Livro,online marketing for busy authors a stepbystep guide,self help,If you want people to read your book writing it is only the beginning there has truly never been a better time to be an author for the first time authors have direct access to the public via the internet and can create a community eagerly awaiting their book but where do new authors start how do.,46.35,1,In stock
90,Livro,obsidian lux,young adult,Starting over suckswhen we moved to west virginia right before my senior year id pretty much resigned myself to thick accents dodgy internet access and a whole lot of boring until i spotted my hot neighbor with his looming height and eerie green eyes things were looking upand then he opened his mouthdaemon.,14.86,2,In stock
91,Livro,my paris kitchen recipes and stories,food and drink,A collection of stories and sweet and savory frenchinspired recipes from popular food blogger david lebovitz reflecting the way parisians eat today and featuring lush photography taken around paris and in davids parisian kitchenits been ten years since david lebovitz packed up his most treasured cookbooks a wellworn castiron skillet and his laptop and moved to a collection of stories and sweet and savory frenchinspired recipes from popular food.,33.37,2,In stock
92,Livro,masks and shadows,fantasy,The year is and carlo morelli the most renowned castrato singer in europe has been invited as an honored guest to eszterháza palace with carlo in prince nikolaus esterházys carriage ride a prussian spy and one of the most notorious alchemists in the habsburg empire already at.,56.4,2,In stock
93,Livro,mama tried traditional italian cooking for the screwed crude vegan and tattooed,food and drink,Cecilia granata grew up cooking with her family in italy as a vegan she learned to adapt her favorite recipes from around the country to be animal free while retaining the flavor and feeling.,14.02,4,In stock
94,Livro,lumberjanes vol  friendship to the max lumberjanes,sequential art,What a mysteryjo april mal molly and ripley are not your average campers and miss qiunzella thiskwin penniquiqul thistle crumpets camp for hardcore ladytypes is not your average summer camp between the river monsters magic and the art of friendship bracelets this summer is.,46.91,2,In stock
95,Livro,lumberjanes vol  beware the kitten holy lumberjanes,sequential art,Friendship to the maxat miss qiunzilla thiskwin penniquiqul thistle crumpets camp for hardcore ladytypes things are not what they seem threeeyed foxes secret caves anagrams luckily jo april mal molly and ripley are five.,45.61,3,In stock
96,Livro,lumberjanes vol  a terrible plan lumberjanes,sequential art,This new york times bestselling series continues with jo april mal.,19.92,2,In stock
97,Livro,layered baking building and styling spectacular cakes,food and drink,Its time to venture beyond vanilla and chocolate and take your baking skills up a notch were talking layerstwo three four or more create skyhigh bakeryquality treats at home with tessa huffs innovative recipes which combine new and exciting flavors of.,40.11,1,In stock
99,Livro,join,science fiction,What if you could live multiple lives simultaneously have constant perfect companionship and never die thats the promise of join a revolutionary technology that allows small groups of minds to unite forming a single consciousness that experiences the world through multiple bodies but as two best friends chance and lucky living in an alternate version of our own n what if you could live multiple lives simultaneously have constant perfect companionship and.,35.67,5,In stock
100,Livro,in the country we love my family divided,nonfiction,The star of orange is the new black and jane the virgin presents her personal story of the real plight of undocumented immigrants in this countrydiane guerrero the television actress from the megahit orange is the new black and jane the virgin was just fourteen years old on the day her parents and brother were arrested and deported while she was at school born in the u the star.,22.0,4,In stock
101,Livro,immunity how elie metchnikoff changed the course of modern medicine,science,Around christmas of while peering through a microscope at starfish larvae in which he had inserted tiny thorns russian zoologist elie metchnikoff had a brilliant insight what if the mobile cells he saw gathering around the thorns were nothing but a healing force in action metchnikoffs daring theory of immunitythat voracious cells he called phagocytes formed the around christmas of while peering through a microscope at starfish larvae in which he.,57.36,5,In stock
102,Livro,i hate fairyland vol  madly ever after i hate fairyland compilations,sequential art,From superstar writer and artist skottie young rocket raccoon wizard of oz fortunately the milk comes the first volume of an allnew series of adventure and mayhem an adventure timealice in wonderlandstyle epic that smashes its cute little face against grownup tank girldeadpoolesque violent madness follow gert a forty year old woman stuck in a six year olds from superstar writer and artist skottie young rocket raccoon.,29.17,2,In stock
103,Livro,i am a hero omnibus volume,sequential art,The zombie apocalypse has never been more surreal a mentally unhinged manga artist witnesses the beginning of a zombie outbreak in tokyo and hes certain of only two things hes destined to be the citys hero and he possesses something very rare.,54.63,3,In stock
104,Livro,how to be miserable  strategies you already use,self help,In how to be miserable psychologist randy paterson outlines specific behaviors and habits whichif followedare sure to lead to a lifetime of unhappiness on the other hand if you do the opposite you may yet join the ranks of happy people everywherethere are stacks upon stacks of selfhelp books that will promise you love happiness and a fabulous life but how ca in how to.,46.03,1,In stock
105,Livro,her backup boyfriend the sorensen family,romance,One little white lie leads to more than she plannedstraightlaced lawyer kate matthews always plays by the rules but when her ex gets engaged and a big promotion is on the line at work she blurts out that she has a new boyfriend and now that shes proved she has a life outside of.,33.97,1,In stock
106,Livro,giant days vol  giant days,sequential art,Susan esther and daisy started at university three weeks ago and became fast friends now away from home for the first time all three want to reinvent themselves but in the face of handwringing boys personal.,22.11,2,In stock
107,Livro,forever and forever the courtship of henry longfellow and fanny appleton,historical fiction,A proper historical romance seriesthe first book in a new series which will focus on the lives of real historical figures who have intriguing stories of courtship that are recreated in fictionalized accounts based on real biographical and social history researcha wellresearched emotionally charged tale a love storyfit for the ages publishers weeklyits an a proper historical romance seriesthe first book in a new series which.,29.69,3,In stock
108,Livro,first and first five boroughs,romance,Caleb stone was raised on the upper east side where wealth and lineage reigns and alternative lifestyles are hidden it took him years to come out to his family but hes still stuck in the stranglehold of their expectations caleb knows he has to build his confidence and shake things up but he doesnt.,15.97,4,In stock
109,Livro,fifty shades darker fifty shades,romance,Daunted by the singular sexual tastes and dark secrets of the beautiful tormented young entrepreneur christian grey anastasia steele has broken off their relationship to start a new career with a seattle publishing housebut desire for christian still dominates her every waking thought and when he proposes a new.,21.96,1,In stock
110,Livro,everydata the misinformation hidden in the little data you consume every day,nonfiction,While everyone is talking about big data the truth is that understanding the little datathe stats that underlie newspaper headlines stock reports weather forecasts and so onis what helps you make smarter decisions at work at home and in every aspect of your life the average person consumes approximately gigabytes of data every single day but has no idea ho while everyone is talking.,54.35,2,In stock
111,Livro,dont be a jerk and other practical advice from dogen japans greatest zen master,religion,A radical but reverent paraphrasing of dogens treasury of the true dharma eyeeven if the whole universe is nothing but a bunch of jerks doing all kinds of jerktype things there is still liberation in simply not being a jerk eihei dogen cethe shobogenzo the treasury of the true dharma eye is a revered eighthundredyearold zen buddhism.,37.97,2,In stock
112,Livro,danganronpa volume,sequential art,Each year the elite hopes peak academy selects only the most gifted and talented students to enrollplus one ordinary student chosen by lottery makoto naegi was that lucky personor so he thought when he shows up for class he finds the elite students are a bizarre cast of oddballs.,51.99,4,In stock
113,Livro,crown of midnight throne of glass,fantasy,A line that should never be crossed is about to be breachedit puts this entire castle in jeopardyand the life of your friendfrom the throne of glass rules a king with a fist of iron and a soul as black as pitch assassin celaena sardothien won a brutal contest to become his champion yet celaena is far from loyal to the crown she hides her secret vigilantly.,43.29,3,In stock
114,Livro,codename baboushka volume  the conclave of death,sequential art,What if the sexy russian femme fatale was actually the main character mysterious young heiress contessa annika malikova has been part of manhattan high society for several years but if they knew the truth her dinner companions would faint the whitehaired contessa is in fact the notorious criminal baboushka a former moscow gang leader now living in exile but what if the sexy russian femme fatale was actually the main character mysterious young heiress contessa annika malikova has been part of manhattan high society for several years but if they knew the truth her dinner companions would.,36.72,4,In stock
115,Livro,camp midnight,sequential art,Ben and big hero creator steven t seagle returns to comics with new yorker magazine cartoonist jason adam katzenstein for a new graphic novel reluctant skye is accidentally sent to the wrong summer camp not wanting to.,17.08,4,In stock
116,Livro,call the nurse true stories of a country nurse on a scottish isle,nonfiction,Tired of the pace and noise of life near london and longing for a better place to raise their young children mary j macleod and her husband encountered their dream while vacationing on a remote island in the scottish hebrides enthralled by its windswept beauty they soon were the proud owners of a nearderelict croft housea farmers stone cottageon a small acre of tired of the pace and noise.,29.14,5,In stock
117,Livro,burning,young adult,After three years in juvie angela davis is just a few months shy of release and shell finally be free from the hole that is brunesfield correctional facility then jessica arrives only ten years old and under the highest security possible this girl has.,28.81,3,In stock
